FIPS,Name,Type,TimeFrame,Data (M),Population
WORLD,WORLD,World,2019,7772.85,7772850000
AFRICA,AFRICA,Sub-Region,2019,1337.918,1337918000
NORTHERN AFRICA,NORTHERN AFRICA,Sub-Region,2019,244.344,244344000
WESTERN AFRICA,WESTERN AFRICA,Sub-Region,2019,401.115,401115000
EASTERN AFRICA,EASTERN AFRICA,Sub-Region,2019,444.97,444970000
MIDDLE AFRICA,MIDDLE AFRICA,Sub-Region,2019,179.757,179757000
SOUTHERN AFRICA,SOUTHERN AFRICA,Sub-Region,2019,67.732,67732000
NORTHERN AMERICA,NORTHERN AMERICA,Sub-Region,2019,368.193,368193000
LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,Sub-Region,2019,651.036,651036000
CENTRAL AMERICA,CENTRAL AMERICA,Sub-Region,2019,178.611,178611000
CARIBBEAN,CARIBBEAN,Sub-Region,2019,43.233,43233000
SOUTH AMERICA,SOUTH AMERICA,Sub-Region,2019,429.191,429191000
ASIA,ASIA,Sub-Region,2019,4625.927,4625927000
WESTERN ASIA,WESTERN ASIA,Sub-Region,2019,280.927,280927000
CENTRAL ASIA,CENTRAL ASIA,Sub-Region,2019,74.961,74961000
SOUTH ASIA,SOUTH ASIA,Sub-Region,2019,1967.131,1967131000
SOUTHEAST ASIA,SOUTHEAST ASIA,Sub-Region,2019,661.845,661845000
EAST ASIA,EAST ASIA,Sub-Region,2019,1641.063,1641063000
EUROPE,EUROPE,Sub-Region,2019,746.622,746622000
NORTHERN EUROPE,NORTHERN EUROPE,Sub-Region,2019,105.99,105990000
WESTERN EUROPE,WESTERN EUROPE,Sub-Region,2019,195.479,195479000
EASTERN EUROPE,EASTERN EUROPE,Sub-Region,2019,291.902,291902000
SOUTHERN EUROPE,SOUTHERN EUROPE,Sub-Region,2019,153.251,153251000
OCEANIA,OCEANIA,Sub-Region,2019,43.155,43155000
